time,lux,hum,temp
2026-06-28 15:45:00+00:00,42.7,59,28.9
2026-06-28 15:50:00+00:00,45.1,59,28.8
2026-06-28 15:55:00+00:00,44.5,59,28.8
2026-06-28 16:00:00+00:00,44.5,59,28.9
2026-06-28 16:05:00+00:00,43.7,59,28.9
2026-06-28 16:10:00+00:00,46.7,59,28.9
2026-06-28 16:15:00+00:00,54.7,59,28.8
2026-06-28 16:20:00+00:00,57.4,59,28.8
2026-06-28 16:25:00+00:00,56.5,59,28.9
2026-06-28 16:30:00+00:00,55.1,59,28.9
2026-06-28 16:35:00+00:00,54.9,59,28.9
2026-06-28 16:40:00+00:00,56.3,60,28.9
2026-06-28 16:45:00+00:00,55.7,60,28.8
2026-06-28 16:50:00+00:00,57.8,59,28.8
2026-06-28 16:55:00+00:00,60.7,59,28.8
2026-06-28 17:00:00+00:00,62.4,59,28.8
2026-06-28 17:05:00+00:00,64.3,59,28.8
2026-06-28 17:10:00+00:00,67,59,28.9
2026-06-28 17:15:00+00:00,70.9,59,28.9
2026-06-28 17:20:00+00:00,76.3,60,28.8
2026-06-28 17:25:00+00:00,79.7,60,28.8
2026-06-28 17:30:00+00:00,80.8,60,28.8
2026-06-28 17:35:00+00:00,82.7,60,28.8
2026-06-28 17:40:00+00:00,85,59,28.8
2026-06-28 17:45:00+00:00,87.6,59,28.7
2026-06-28 17:50:00+00:00,88.6,59,28.7
2026-06-28 17:55:00+00:00,91.1,59,28.7
2026-06-28 18:00:00+00:00,91.9,58,28.8
